dtxsid,measurement,observation,sample,sampleType,substanceName,unit,value
<http://w3id.org/DSSTox/v1/DTXSID5030030>,<http://w3id.org/sawgraph/v1/me-egad-data#result.L226926401.AAWH.20221208.375735>,<http://w3id.org/sawgraph/v1/me-egad-data#observation.AAWHL226926401.20221208.375735>,<http://w3id.org/sawgraph/v1/me-egad-data#sample.AAWHL226926401.20221208>,SOIL,Perfluorobutanesulfonic acid,ng/g,0.066
<http://w3id.org/DSSTox/v1/DTXSID5030030>,<http://w3id.org/sawgraph/v1/me-egad-data#result.L234061701.AAWH.20230713.375735>,<http://w3id.org/sawgraph/v1/me-egad-data#observation.AAWHL234061701.20230713.375735>,<http://w3id.org/sawgraph/v1/me-egad-data#sample.AAWHL234061701.20230713>,SOIL,Perfluorobutanesulfonic acid,ng/g,0.067
<http://w3id.org/DSSTox/v1/DTXSID5030030>,<http://w3id.org/sawgraph/v1/me-egad-data#result.L234061701.AAWH.20230713.375735>,<http://w3id.org/sawgraph/v1/me-egad-data#observation.AAWHL234061701.20230713.375735>,<http://w3id.org/sawgraph/v1/me-egad-data#sample.AAWHL234061701.20230713>,SOIL,Perfluorobutanesulfonic acid,ng/L,0.067
<http://w3id.org/DSSTox/v1/DTXSID5030030>,<http://w3id.org/sawgraph/v1/me-egad-data#result.L235816703.AAWH.20230929.375735>,<http://w3id.org/sawgraph/v1/me-egad-data#observation.AAWHL235816703.20230929.375735>,<http://w3id.org/sawgraph/v1/me-egad-data#sample.AAWHL235816703.20230929>,SOIL,Perfluorobutanesulfonic acid,ng/g,0.067
<http://w3id.org/DSSTox/v1/DTXSID5030030>,<http://w3id.org/sawgraph/v1/me-egad-data#result.L233683204.AAWH.20230622.375735>,<http://w3id.org/sawgraph/v1/me-egad-data#observation.AAWHL233683204.20230622.375735>,<http://w3id.org/sawgraph/v1/me-egad-data#sample.AAWHL233683204.20230622>,SOIL,Perfluorobutanesulfonic acid,ng/g,0.067
<http://w3id.org/DSSTox/v1/DTXSID5030030>,<http://w3id.org/sawgraph/v1/me-egad-data#result.L226138501.AAWH.20221101.375735>,<http://w3id.org/sawgraph/v1/me-egad-data#observation.AAWHL226138501.20221101.375735>,<http://w3id.org/sawgraph/v1/me-egad-data#sample.AAWHL226138501.20221101>,SOIL,Perfluorobutanesulfonic acid,ng/g,0.068
<http://w3id.org/DSSTox/v1/DTXSID5030030>,<http://w3id.org/sawgraph/v1/me-egad-data#result.L233810804.AAWH.20230627.375735>,<http://w3id.org/sawgraph/v1/me-egad-data#observation.AAWHL233810804.20230627.375735>,<http://w3id.org/sawgraph/v1/me-egad-data#sample.AAWHL233810804.20230627>,SOIL,Perfluorobutanesulfonic acid,ng/g,0.069
<http://w3id.org/DSSTox/v1/DTXSID5030030>,<http://w3id.org/sawgraph/v1/me-egad-data#result.L236408403.AAWH.20230922.375735>,<http://w3id.org/sawgraph/v1/me-egad-data#observation.AAWHL236408403.20230922.375735>,<http://w3id.org/sawgraph/v1/me-egad-data#sample.AAWHL236408403.20230922>,SOIL,Perfluorobutanesulfonic acid,ng/g,0.07
<http://w3id.org/DSSTox/v1/DTXSID5030030>,<http://w3id.org/sawgraph/v1/me-egad-data#result.L235816717.AAWH.20230929.375735>,<http://w3id.org/sawgraph/v1/me-egad-data#observation.AAWHL235816717.20230929.375735>,<http://w3id.org/sawgraph/v1/me-egad-data#sample.AAWHL235816717.20230929>,SOIL,Perfluorobutanesulfonic acid,ng/g,0.07
<http://w3id.org/DSSTox/v1/DTXSID5030030>,<http://w3id.org/sawgraph/v1/me-egad-data#result.L193561209.AAWH.20190806.375735>,<http://w3id.org/sawgraph/v1/me-egad-data#observation.AAWHL193561209.20190806.375735>,<http://w3id.org/sawgraph/v1/me-egad-data#sample.AAWHL193561209.20190806>,SOIL,Perfluorobutanesulfonic acid,ng/g,0.07
