testPoint,feature,observation,substance,concentration,unit
http://w3id.org/sawgraph/v1/me-egad-data#samplePoint.95073,http://w3id.org/sawgraph/v1/me-egad-data#sampledFeature.95073,http://w3id.org/sawgraph/v1/me-egad-data#observation.AAL231132509.20230303.DEP18010,http://w3id.org/sawgraph/v1/me-egad-data#parameter.SUM_PFOA_PFOS,5.04,http://qudt.org/vocab/unit/NanoGM-PER-L
http://w3id.org/sawgraph/v1/me-egad-data#samplePoint.95073,http://w3id.org/sawgraph/v1/me-egad-data#sampledFeature.95073,http://w3id.org/sawgraph/v1/me-egad-data#observation.AAL231132509.20230303.DEP18016,http://w3id.org/sawgraph/v1/me-egad-data#parameter.SUM_OF_5_PFAS,7.05,http://qudt.org/vocab/unit/NanoGM-PER-L
http://w3id.org/sawgraph/v1/me-egad-data#samplePoint.95073,http://w3id.org/sawgraph/v1/me-egad-data#sampledFeature.95073,http://w3id.org/sawgraph/v1/me-egad-data#observation.AAL231132509.20230303.DEP18018,http://w3id.org/sawgraph/v1/me-egad-data#parameter.SUM_OF_6_PFAS,7.05,http://qudt.org/vocab/unit/NanoGM-PER-L
http://w3id.org/sawgraph/v1/me-egad-data#samplePoint.95076,http://w3id.org/sawgraph/v1/me-egad-data#sampledFeature.95076,http://w3id.org/sawgraph/v1/me-egad-data#observation.AAL231132511.20230303.335671,http://w3id.org/sawgraph/v1/me-egad-data#parameter.PFOA_A,2.77,http://qudt.org/vocab/unit/NanoGM-PER-L
http://w3id.org/sawgraph/v1/me-egad-data#samplePoint.95076,http://w3id.org/sawgraph/v1/me-egad-data#sampledFeature.95076,http://w3id.org/sawgraph/v1/me-egad-data#observation.AAL231132511.20230303.DEP18010,http://w3id.org/sawgraph/v1/me-egad-data#parameter.SUM_PFOA_PFOS,2.77,http://qudt.org/vocab/unit/NanoGM-PER-L
http://w3id.org/sawgraph/v1/me-egad-data#samplePoint.95076,http://w3id.org/sawgraph/v1/me-egad-data#sampledFeature.95076,http://w3id.org/sawgraph/v1/me-egad-data#observation.AAL231132511.20230303.DEP18016,http://w3id.org/sawgraph/v1/me-egad-data#parameter.SUM_OF_5_PFAS,2.77,http://qudt.org/vocab/unit/NanoGM-PER-L
http://w3id.org/sawgraph/v1/me-egad-data#samplePoint.95076,http://w3id.org/sawgraph/v1/me-egad-data#sampledFeature.95076,http://w3id.org/sawgraph/v1/me-egad-data#observation.AAL231132511.20230303.DEP18018,http://w3id.org/sawgraph/v1/me-egad-data#parameter.SUM_OF_6_PFAS,2.77,http://qudt.org/vocab/unit/NanoGM-PER-L
http://w3id.org/sawgraph/v1/me-egad-data#samplePoint.95076,http://w3id.org/sawgraph/v1/me-egad-data#sampledFeature.95076,http://w3id.org/sawgraph/v1/me-egad-data#observation.AAL231132512.20230303.335671,http://w3id.org/sawgraph/v1/me-egad-data#parameter.PFOA_A,2.69,http://qudt.org/vocab/unit/NanoGM-PER-L
http://w3id.org/sawgraph/v1/me-egad-data#samplePoint.95076,http://w3id.org/sawgraph/v1/me-egad-data#sampledFeature.95076,http://w3id.org/sawgraph/v1/me-egad-data#observation.AAL231132512.20230303.DEP18010,http://w3id.org/sawgraph/v1/me-egad-data#parameter.SUM_PFOA_PFOS,2.69,http://qudt.org/vocab/unit/NanoGM-PER-L
http://w3id.org/sawgraph/v1/me-egad-data#samplePoint.95076,http://w3id.org/sawgraph/v1/me-egad-data#sampledFeature.95076,http://w3id.org/sawgraph/v1/me-egad-data#observation.AAL231132512.20230303.DEP18016,http://w3id.org/sawgraph/v1/me-egad-data#parameter.SUM_OF_5_PFAS,2.69,http://qudt.org/vocab/unit/NanoGM-PER-L
http://w3id.org/sawgraph/v1/me-egad-data#samplePoint.95076,http://w3id.org/sawgraph/v1/me-egad-data#sampledFeature.95076,http://w3id.org/sawgraph/v1/me-egad-data#observation.AAL231132512.20230303.DEP18018,http://w3id.org/sawgraph/v1/me-egad-data#parameter.SUM_OF_6_PFAS,2.69,http://qudt.org/vocab/unit/NanoGM-PER-L
