observation,feature,sample,property,substance,result,value,unit,sampleMaterialType,samplePoint
http://w3id.org/sawgraph/v1/me-egad-data#observation.AAL211038501.20210303.2991506,http://w3id.org/sawgraph/v1/me-egad-data#sampledFeature.152668,http://w3id.org/sawgraph/v1/me-egad-data#sample.AAL211038501.20210303,http://w3id.org/coso/v1/contaminoso#SingleContaminantConcentrationQuantityKind,http://w3id.org/sawgraph/v1/me-egad-data#parameter.N-EtFOSAA_A,http://w3id.org/sawgraph/v1/me-egad-data#result.L211038501.AA.20210303.2991506,http://w3id.org/coso/v1/contaminoso#non-detect,,http://w3id.org/sawgraph/v1/me-egad-data#sampleMaterialType.MLK,http://w3id.org/sawgraph/v1/me-egad-data#samplePoint.152668
http://w3id.org/sawgraph/v1/me-egad-data#observation.AAL211038501.20210303.307244,http://w3id.org/sawgraph/v1/me-egad-data#sampledFeature.152668,http://w3id.org/sawgraph/v1/me-egad-data#sample.AAL211038501.20210303,http://w3id.org/coso/v1/contaminoso#SingleContaminantConcentrationQuantityKind,http://w3id.org/sawgraph/v1/me-egad-data#parameter.PFHXA_A,http://w3id.org/sawgraph/v1/me-egad-data#result.L211038501.AA.20210303.307244,http://w3id.org/coso/v1/contaminoso#non-detect,,http://w3id.org/sawgraph/v1/me-egad-data#sampleMaterialType.MLK,http://w3id.org/sawgraph/v1/me-egad-data#samplePoint.152668
http://w3id.org/sawgraph/v1/me-egad-data#observation.AAL211038501.20210303.307551,http://w3id.org/sawgraph/v1/me-egad-data#sampledFeature.152668,http://w3id.org/sawgraph/v1/me-egad-data#sample.AAL211038501.20210303,http://w3id.org/coso/v1/contaminoso#SingleContaminantConcentrationQuantityKind,http://w3id.org/sawgraph/v1/me-egad-data#parameter.PFDOA_A,http://w3id.org/sawgraph/v1/me-egad-data#result.L211038501.AA.20210303.307551,http://w3id.org/coso/v1/contaminoso#non-detect,,http://w3id.org/sawgraph/v1/me-egad-data#sampleMaterialType.MLK,http://w3id.org/sawgraph/v1/me-egad-data#samplePoint.152668
http://w3id.org/sawgraph/v1/me-egad-data#observation.AAL211038501.20210303.335671,http://w3id.org/sawgraph/v1/me-egad-data#sampledFeature.152668,http://w3id.org/sawgraph/v1/me-egad-data#sample.AAL211038501.20210303,http://w3id.org/coso/v1/contaminoso#SingleContaminantConcentrationQuantityKind,http://w3id.org/sawgraph/v1/me-egad-data#parameter.PFOA_A,http://w3id.org/sawgraph/v1/me-egad-data#result.L211038501.AA.20210303.335671,http://w3id.org/coso/v1/contaminoso#non-detect,,http://w3id.org/sawgraph/v1/me-egad-data#sampleMaterialType.MLK,http://w3id.org/sawgraph/v1/me-egad-data#samplePoint.152668
http://w3id.org/sawgraph/v1/me-egad-data#observation.AAL211038501.20210303.335762,http://w3id.org/sawgraph/v1/me-egad-data#sampledFeature.152668,http://w3id.org/sawgraph/v1/me-egad-data#sample.AAL211038501.20210303,http://w3id.org/coso/v1/contaminoso#SingleContaminantConcentrationQuantityKind,http://w3id.org/sawgraph/v1/me-egad-data#parameter.PFDA_A,http://w3id.org/sawgraph/v1/me-egad-data#result.L211038501.AA.20210303.335762,http://w3id.org/coso/v1/contaminoso#non-detect,,http://w3id.org/sawgraph/v1/me-egad-data#sampleMaterialType.MLK,http://w3id.org/sawgraph/v1/me-egad-data#samplePoint.152668
http://w3id.org/sawgraph/v1/me-egad-data#observation.AAL211038501.20210303.335773,http://w3id.org/sawgraph/v1/me-egad-data#sampledFeature.152668,http://w3id.org/sawgraph/v1/me-egad-data#sample.AAL211038501.20210303,http://w3id.org/coso/v1/contaminoso#SingleContaminantConcentrationQuantityKind,http://w3id.org/sawgraph/v1/me-egad-data#parameter.PFDS_A,http://w3id.org/sawgraph/v1/me-egad-data#result.L211038501.AA.20210303.335773,http://w3id.org/coso/v1/contaminoso#non-detect,,http://w3id.org/sawgraph/v1/me-egad-data#sampleMaterialType.MLK,http://w3id.org/sawgraph/v1/me-egad-data#samplePoint.152668
http://w3id.org/sawgraph/v1/me-egad-data#observation.AAL211038501.20210303.355464,http://w3id.org/sawgraph/v1/me-egad-data#sampledFeature.152668,http://w3id.org/sawgraph/v1/me-egad-data#sample.AAL211038501.20210303,http://w3id.org/coso/v1/contaminoso#SingleContaminantConcentrationQuantityKind,http://w3id.org/sawgraph/v1/me-egad-data#parameter.PFHXS_A,http://w3id.org/sawgraph/v1/me-egad-data#result.L211038501.AA.20210303.355464,http://w3id.org/coso/v1/contaminoso#non-detect,,http://w3id.org/sawgraph/v1/me-egad-data#sampleMaterialType.MLK,http://w3id.org/sawgraph/v1/me-egad-data#samplePoint.152668
http://w3id.org/sawgraph/v1/me-egad-data#observation.AAL211038501.20210303.375224,http://w3id.org/sawgraph/v1/me-egad-data#sampledFeature.152668,http://w3id.org/sawgraph/v1/me-egad-data#sample.AAL211038501.20210303,http://w3id.org/coso/v1/contaminoso#SingleContaminantConcentrationQuantityKind,http://w3id.org/sawgraph/v1/me-egad-data#parameter.PFBA_A,http://w3id.org/sawgraph/v1/me-egad-data#result.L211038501.AA.20210303.375224,55.6,http://qudt.org/vocab/unit/NanoGM-PER-L,http://w3id.org/sawgraph/v1/me-egad-data#sampleMaterialType.MLK,http://w3id.org/sawgraph/v1/me-egad-data#samplePoint.152668
http://w3id.org/sawgraph/v1/me-egad-data#observation.AAL211038501.20210303.375735,http://w3id.org/sawgraph/v1/me-egad-data#sampledFeature.152668,http://w3id.org/sawgraph/v1/me-egad-data#sample.AAL211038501.20210303,http://w3id.org/coso/v1/contaminoso#SingleContaminantConcentrationQuantityKind,http://w3id.org/sawgraph/v1/me-egad-data#parameter.PFBS_A,http://w3id.org/sawgraph/v1/me-egad-data#result.L211038501.AA.20210303.375735,http://w3id.org/coso/v1/contaminoso#non-detect,,http://w3id.org/sawgraph/v1/me-egad-data#sampleMaterialType.MLK,http://w3id.org/sawgraph/v1/me-egad-data#samplePoint.152668
http://w3id.org/sawgraph/v1/me-egad-data#observation.AAL211038501.20210303.375859,http://w3id.org/sawgraph/v1/me-egad-data#sampledFeature.152668,http://w3id.org/sawgraph/v1/me-egad-data#sample.AAL211038501.20210303,http://w3id.org/coso/v1/contaminoso#SingleContaminantConcentrationQuantityKind,http://w3id.org/sawgraph/v1/me-egad-data#parameter.PFHPA_A,http://w3id.org/sawgraph/v1/me-egad-data#result.L211038501.AA.20210303.375859,http://w3id.org/coso/v1/contaminoso#non-detect,,http://w3id.org/sawgraph/v1/me-egad-data#sampleMaterialType.MLK,http://w3id.org/sawgraph/v1/me-egad-data#samplePoint.152668
